County,Country
Perth and Kinross,Scotland
Stirling,Scotland
Argyll and Bute,Scotland
Highland,Scotland
Aberdeenshire,Scotland
Angus,Scotland
Moray,Scotland
North Ayrshire,Scotland
Aberdeen,Scotland
Shetland Islands,Scotland
Orkney Islands,Scotland
Na h-Eileanan Siar [Western Isles],Scotland
Clackmannanshire,Scotland
East Dunbartonshire,Scotland
Fife,Scotland
West Dunbartonshire,Scotland
South Lanarkshire,Scotland
East Ayrshire,Scotland
East Renfrewshire,Scotland
South Ayrshire,Scotland
Dumfries and Galloway,Scotland
Scottish Borders,Scotland
Midlothian,Scotland
Edinburgh,Scotland
East Lothian,Scotland
West Lothian,Scotland
Northumberland,England
Isle of Man,Isle of Man
Gwynedd,Wales
Anglesey [Sir Fon],Wales
Conwy,Wales
Denbighshire [Sir Ddinbych],Wales
Flintshire [Sir Fflint],Wales
Powys,Wales
Cardiganshire [Ceredigion],Wales
Pembrokeshire [Sir Benfro],Wales
Carmarthenshire [Sir Gaerfyrddin],Wales
Herefordshire,England
Monmouthshire [Sir Fynwy],Wales
Neath Port Talbot,Wales
Swansea,Wales
Blaenau Gwent,Wales
Rhondda Cynon Taff,Wales
Caerphilly,Wales
Cardiff,Wales
Cumberland,England
Westmorland and Furness,England
Durham,England
North Yorkshire,England
Lancashire,England
Bradford,England
Leeds,England
Derbyshire,England
Cheshire East,England
Blackburn with Darwen,England
Calderdale,England
Staffordshire,England
St Helens,England
Redcar and Cleveland,England
Yorkshire E Riding,England
Lincolnshire,England
Shropshire,England
Telford and Wrekin,England
Gloucestershire,England
Worcestershire,England
Wiltshire,England
Leicestershire,England
Buckinghamshire,England
Devon,England
Cornwall,England
Somerset,England
Dorset,England
North Somerset,England
West Berkshire,England
Surrey,England
West Sussex,England
Hampshire,England
East Sussex,England
Isle of Wight,England
Kent,England
Wrexham,Wales
Torfaen,Wales
Bridgend,Wales
Sheffield,England
Kirklees,England
Inverclyde,Scotland
Gateshead,England
Rochdale,England
Tameside,England
Cheshire West and Chester,England
Swindon,England
Warwickshire,England
Oxfordshire,England
Central Bedfordshire,England
West Northamptonshire,England
Torbay,England
Windsor and Maidenhead,England
Cambridgeshire,England
Greater London,England
Essex,England
Norfolk,England
North Northamptonshire,England
Rutland,England
Suffolk,England
Bath and NE Somerset,England
Nottinghamshire,England
Sandwell,England
Barnsley,England
Birmingham,England
Blackpool,England
"Bournemouth, Christchurch and Poole",England
Bracknell Forest,England
Brighton and Hove,England
Coventry,England
Darlington,England
Derby,England
Doncaster,England
Dudley,England
Dundee,Scotland
Falkirk,Scotland
Glasgow,Scotland
Halton,England
Hartlepool,England
Isles of Scilly,England
Kingston upon Hull,England
Knowsley,England
Leicester,England
Liverpool,England
Manchester,England
Middlesbrough,England
Milton Keynes,England
Newcastle upon Tyne,England
North Lincolnshire,England
North Tyneside,England
North-East Lincolnshire,England
Nottingham,England
Reading,England
Rotherham,England
Salford,England
Sefton,England
Solihull,England
South Gloucestershire,England
South Tyneside,England
Southampton,England
Stockport,England
Stockton-on-Tees,England
Sunderland,England
Oldham,England
Trafford,England
Vale of Glamorgan,Wales
Wakefield,England
Walsall,England
Warrington,England
Wigan,England
Wirral,England
York,England
Bedford Borough,England
Renfrewshire,Scotland
Merthyr Tydfil,Wales
Bailiwick of Guernsey,Channel Islands
Bailiwick of Jersey,Channel Islands
North Lanarkshire,Scotland
Newport,Wales
Bury,England
Stoke on Trent,England
Bolton,England
Wolverhampton,England
Hertfordshire,England
Bristol,England
Plymouth,England
Medway,England
Portsmouth,England
Wokingham,England
Thurrock,England
Kerry,Republic of Ireland
Wicklow,Republic of Ireland
Limerick,Republic of Ireland
"Newry, Mourne and Down",Northern Ireland
Mayo,Republic of Ireland
Tipperary,Republic of Ireland
Carlow,Republic of Ireland
Waterford,Republic of Ireland
South Dublin,Republic of Ireland
Donegal,Republic of Ireland
Galway,Republic of Ireland
Cork,Republic of Ireland
Derry and Strabane,Northern Ireland
Cavan,Republic of Ireland
Wexford,Republic of Ireland
Sligo,Republic of Ireland
Causeway Coast and Glens,Northern Ireland
Leitrim,Republic of Ireland
Louth,Republic of Ireland
Mid Ulster,Northern Ireland
Fermanagh and Omagh,Northern Ireland
Dun Laoghaire-Rathdown,Republic of Ireland
Clare,Republic of Ireland
Laois,Republic of Ireland
Kilkenny,Republic of Ireland
Belfast,Northern Ireland
Mid and East Antrim,Northern Ireland
"Armagh, Banbridge and Craigavon",Northern Ireland
Antrim and Newtownabbey,Northern Ireland
Longford,Republic of Ireland
Meath,Republic of Ireland
Roscommon,Republic of Ireland
Offaly,Republic of Ireland
North Down and Ards,Northern Ireland
Fingal,Republic of Ireland
Monaghan,Republic of Ireland
Westmeath,Republic of Ireland
Kildare,Republic of Ireland
Lisburn and Castlereagh,Northern Ireland
Cork City,Republic of Ireland
Dublin City,Republic of Ireland
Galway City,Republic of Ireland
